animal.id,sex,DT,difft,stepl,vel
4,m,8/27/2017 15:02,4.016666667,917.9959694,228.5467144
4,m,8/27/2017 19:02,4,640.3943193,160.0985798
4,m,8/27/2017 23:02,4,21.13466528,5.283666321
4,m,8/28/2017 6:02,7,575.8755306,82.26793294
4,m,8/28/2017 10:01,3.983333333,436.6167439,109.6108981
4,m,8/28/2017 14:01,4,74.98540185,18.74635046
4,m,8/28/2017 18:01,4,90.68316585,22.67079146
4,m,8/29/2017 1:02,7.016666667,174.7926848,24.91107147
4,m,8/29/2017 5:02,4,624.3855211,156.0963803
4,m,8/29/2017 9:01,3.983333333,844.8124345,212.0868036
4,m,8/29/2017 13:02,4.016666667,109.6870707,27.3079844
4,m,8/29/2017 17:01,3.983333333,22.88403742,5.744946633
4,m,8/29/2017 21:01,4,106.1534374,26.53835934
4,m,8/30/2017 0:01,3,7.292822303,2.430940768
4,m,8/30/2017 4:02,4.016666667,691.9237518,172.2631747
4,m,8/30/2017 8:02,4,563.2132597,140.8033149
4,m,8/30/2017 16:02,8,404.0779779,50.50974724
4,m,8/30/2017 20:01,3.983333333,289.8485556,72.76532777
4,m,8/30/2017 23:01,3,286.4264718,95.47549061
4,m,8/31/2017 3:02,4.016666667,415.2550225,103.3829932
4,m,8/31/2017 7:02,4,555.0969467,138.7742367
4,m,8/31/2017 11:02,4,442.0049825,110.5012456
4,m,8/31/2017 15:01,3.983333333,179.6263095,45.09447101
4,m,8/31/2017 19:01,4,359.793566,89.94839151
4,m,8/31/2017 23:01,4,54.74520262,13.68630066
4,m,9/1/2017 2:02,3.016666667,170.3323839,56.46377368
4,m,9/1/2017 6:01,3.983333333,360.275623,90.44576308
4,m,9/1/2017 10:02,4.016666667,369.1897452,91.91445938
4,m,9/1/2017 14:02,4,17.85137248,4.46284312
4,m,9/1/2017 22:03,8.016666667,36.64615094,4.57124544
4,m,9/2/2017 1:01,2.966666667,543.6602526,183.2562649
4,m,9/2/2017 5:01,4,656.1303762,164.0325941
4,m,9/2/2017 13:03,8.033333333,895.9618963,111.5305265
4,m,9/2/2017 17:01,3.966666667,130.4023496,32.87454191
4,m,9/2/2017 21:01,4,194.7251208,48.6812802
4,m,9/3/2017 4:03,7.033333333,242.1239063,34.42519995
4,m,9/3/2017 8:01,3.966666667,1092.30185,275.3702143
4,m,9/3/2017 12:02,4.016666667,763.9756766,190.2014133
4,m,9/3/2017 16:01,3.983333333,412.6141554,103.5851436
4,m,9/3/2017 20:01,4,160.5058288,40.1264572
4,m,9/3/2017 23:01,3,50.45087993,16.81695998
4,m,9/4/2017 15:04,16.05,571.5905177,35.61311637
4,m,9/4/2017 19:01,3.95,472.2328946,119.5526315
4,m,9/4/2017 23:01,4,61.70776065,15.42694016
4,m,9/5/2017 2:01,3,126.2749284,42.0916428
4,m,9/5/2017 6:01,4,761.5677294,190.3919324
4,m,9/5/2017 18:03,12.03333333,531.5536006,44.17342941
4,m,9/5/2017 22:01,3.966666667,343.9156665,86.70142853
4,m,9/6/2017 1:02,3.016666667,233.766699,77.49172343
4,m,9/6/2017 5:02,4,691.8840906,172.9710227
4,m,9/6/2017 9:02,4,534.5449187,133.6362297
4,m,9/6/2017 17:02,8,416.1909428,52.02386785
4,m,9/6/2017 21:01,3.983333333,523.9366125,131.532204
4,m,9/7/2017 0:01,3,6.832400182,2.277466727
4,m,9/7/2017 4:02,4.016666667,1375.027535,342.3305067
4,m,9/7/2017 8:02,4,109.0318246,27.25795616
4,m,9/7/2017 12:02,4,455.0385181,113.7596295
4,m,9/7/2017 16:02,4,743.7598203,185.9399551
4,m,9/7/2017 20:01,3.983333333,567.4632593,142.4593956
4,m,9/7/2017 23:01,3,25.79373365,8.597911218
4,m,9/8/2017 3:02,4.016666667,255.8516432,63.69750453
4,m,9/8/2017 7:02,4,94.25675146,23.56418786
4,m,9/8/2017 19:03,12.01666667,569.5072029,47.39310981
4,m,9/9/2017 2:01,6.966666667,302.6435853,43.44166296
4,m,9/9/2017 6:01,4,411.5138269,102.8784567
4,m,9/9/2017 14:02,8.016666667,699.3226259,87.23359159
4,m,9/9/2017 22:03,8.016666667,201.5630712,25.14300264
4,m,9/10/2017 1:01,2.966666667,21.57877855,7.273745577
4,m,9/10/2017 5:01,4,99.82203783,24.95550946
4,m,9/10/2017 9:01,4,138.5042495,34.62606239
4,m,9/10/2017 17:03,8.033333333,129.7783375,16.15497978
4,m,9/11/2017 4:03,11,127.0494741,11.54995219
4,m,9/11/2017 8:02,3.983333333,279.1177407,70.07139935
4,m,9/11/2017 23:04,15.03333333,62.18512521,4.13648283
4,m,9/12/2017 3:02,3.966666667,41.10206153,10.36186425
4,m,9/12/2017 11:03,8.016666667,220.9169449,27.55720727
4,m,9/12/2017 23:02,11.98333333,232.387969,19.39259824
4,m,9/13/2017 2:02,3,41.93918079,13.97972693
4,m,9/13/2017 6:02,4,39.24844888,9.812112219
4,m,9/13/2017 10:02,4,254.7329821,63.68324552
4,m,9/13/2017 18:02,8,203.7313155,25.46641443
